company_name,writer,tweet_total,comment_total,retweet_total,like_num,reaction_total
Amazon.com,evdefender,2,8.0,9.0,63.0,80.0
Amazon.com,investorswan,2,2.0,0.0,0.0,2.0
Amazon.com,phoennix10,2,10.0,10.0,110.0,130.0
Amazon.com,plainsite,2,1.0,2.0,14.0,17.0
Amazon.com,rooseveltpatoo1,2,2.0,4.0,25.0,31.0
Amazon.com,stevehamel16,2,3.0,4.0,40.0,47.0
Amazon.com,valueanalyst1,2,1.0,0.0,7.0,8.0
Amazon.com,zomgapocalypse,2,2.0,0.0,4.0,6.0
Amazon.com,4xrevenue,1,0.0,0.0,5.0,5.0
Amazon.com,abledoc,1,1.0,0.0,0.0,1.0
Amazon.com,boriquagato,1,0.0,0.0,11.0,11.0
Amazon.com,chris_stearns,1,1.0,0.0,1.0,2.0
Amazon.com,dope007,1,1.0,0.0,1.0,2.0
Amazon.com,fly4dat,1,1.0,0.0,1.0,2.0
Amazon.com,grainsurgeon,1,0.0,0.0,2.0,2.0
Amazon.com,jebkinnison,1,0.0,3.0,9.0,12.0
Amazon.com,jonbryant421,1,0.0,0.0,4.0,4.0
Amazon.com,jordanwells33,1,3.0,5.0,117.0,125.0
Amazon.com,kkublai5,1,0.0,0.0,3.0,3.0
Amazon.com,modelyendofice,1,0.0,0.0,0.0,0.0
Amazon.com,paul91701736,1,3.0,1.0,24.0,28.0
Amazon.com,phenomenalpoto,1,1.0,0.0,3.0,4.0
Amazon.com,polixenes13,1,6.0,2.0,26.0,34.0
Amazon.com,raindropsohmy,1,0.0,0.0,0.0,0.0
Amazon.com,sawa201200,1,0.0,0.0,0.0,0.0
Amazon.com,spartantrader96,1,0.0,0.0,0.0,0.0
Amazon.com,subach,1,1.0,0.0,1.0,2.0
Amazon.com,teslacito,1,0.0,0.0,1.0,1.0
Amazon.com,teslany,1,0.0,4.0,8.0,12.0
Amazon.com,titoelbandito,1,0.0,1.0,0.0,1.0
Amazon.com,unknowntrader,1,0.0,0.0,0.0,0.0
Amazon.com,ventmixologist,1,1.0,1.0,0.0,2.0
Amazon.com,wintoncapptnrs,1,0.0,0.0,0.0,0.0
Google Inc,exactoptionpick,7096,70.0,35.0,828.0,933.0
Google Inc,econalert,3485,12.0,1352.0,237.0,1601.0
Google Inc,portfoliobuzz,2544,2.0,5.0,53.0,60.0
Google Inc,faisamtrader,1763,7.0,208.0,170.0,385.0
Google Inc,optionalarm,1210,4.0,14.0,117.0,135.0
Google Inc,sjoerdapp,1169,7.0,262.0,269.0,538.0
Google Inc,eliteoptionswap,1050,226.0,99.0,1072.0,1397.0
Google Inc,naashonomics,841,51.0,149.0,210.0,410.0
Google Inc,alert_options,812,38.0,267.0,519.0,824.0
Google Inc,dzierler,762,109.0,457.0,1350.0,1916.0
Google Inc,theburdettelawf,761,102.0,22.0,230.0,354.0
Google Inc,marketcurrents,637,11.0,237.0,327.0,575.0
Google Inc,theflynews,598,36.0,1542.0,559.0,2137.0
Google Inc,jorellarakalel,593,18.0,42.0,139.0,199.0
Google Inc,iamtito_,568,2.0,52.0,7.0,61.0
Google Inc,wise_owl_trader,517,160.0,162.0,1056.0,1378.0
Google Inc,quanttradr,516,173.0,69.0,274.0,516.0
Google Inc,freetrades4u,500,31.0,48.0,494.0,573.0
Google Inc,stckpro,488,1.0,43.0,20.0,64.0
Google Inc,rimisback,479,147.0,510.0,897.0,1554.0
Google Inc,visualstockrsrc,479,2.0,5.0,5.0,12.0
Google Inc,swingtradeideas,469,0.0,1.0,0.0,1.0
Google Inc,minteractapp,456,23.0,148.0,111.0,282.0
Google Inc,1minutestock,455,1.0,1.0,11.0,13.0
Google Inc,topstockalerts1,451,27.0,30.0,84.0,141.0
Google Inc,themarketisopen,439,0.0,14.0,25.0,39.0
Google Inc,ericdavis221,430,382.0,12.0,102.0,496.0
Google Inc,shareplanner,430,24.0,523.0,220.0,767.0
Google Inc,stickycactusink,421,33.0,287.0,364.0,684.0
Google Inc,jedimarkus77,413,345.0,175.0,1645.0,2165.0
Google Inc,oactrading,413,2.0,6.0,20.0,28.0
Google Inc,raymond10mm,374,36.0,132.0,501.0,669.0
Google Inc,sonycomeback,369,31.0,99.0,99.0,229.0
Google Inc,boardtownblast,346,3.0,238.0,90.0,331.0
Google Inc,shawncj6,346,113.0,28.0,36.0,177.0
Google Inc,talkmarkets,346,3.0,9.0,34.0,46.0
Google Inc,larrylivinston,340,37.0,38.0,179.0,254.0
Google Inc,tickeron,339,3.0,20.0,23.0,46.0
Google Inc,ophirgottlieb,338,216.0,431.0,1084.0,1731.0
Google Inc,shortvolumes,332,3.0,2.0,38.0,43.0
Google Inc,wallstsolver,332,1.0,48.0,27.0,76.0
Google Inc,rakutenstock,292,18.0,85.0,71.0,174.0
Google Inc,tickwatchermf,286,18.0,75.0,191.0,284.0
Google Inc,420weedstreet,275,28.0,75.0,179.0,282.0
Google Inc,elpfan,272,0.0,11.0,16.0,27.0
Google Inc,ro_patel,270,7.0,34.0,121.0,162.0
Google Inc,wallstreetelix5,262,133.0,83.0,955.0,1171.0
Google Inc,unhedgedchatter,261,110.0,78.0,451.0,639.0
Google Inc,optionsmaxpain,253,0.0,1.0,5.0,6.0
Google Inc,newsfilterio,251,0.0,39.0,22.0,61.0
Google Inc,truebubblehead,249,165.0,169.0,1430.0,1764.0
Google Inc,greenstocks2016,246,70.0,217.0,385.0,672.0
Google Inc,drugdoctor2014,243,13.0,133.0,608.0,754.0
Google Inc,briefingcom,241,3.0,161.0,53.0,217.0
Google Inc,mchaudhry82,234,94.0,394.0,1867.0,2355.0
Google Inc,thegreenisback,233,2.0,16.0,221.0,239.0
Google Inc,itradevol,228,27.0,157.0,328.0,512.0
Google Inc,optioncharts,226,5.0,7.0,27.0,39.0
Google Inc,tos_option,226,23.0,32.0,200.0,255.0
Google Inc,americanbanking,225,1.0,9.0,7.0,17.0
Google Inc,eliteoptions2,218,387.0,546.0,2792.0,3725.0
Google Inc,techniquant,214,3.0,253.0,36.0,292.0
Google Inc,ryuofdarkness,212,0.0,26.0,9.0,35.0
Google Inc,globalinvestor5,209,20.0,28.0,62.0,110.0
Google Inc,profectusystems,209,4.0,0.0,40.0,44.0
Google Inc,thestreet,201,429.0,466.0,1158.0,2053.0
Google Inc,aaaamhim,197,12.0,10.0,55.0,77.0
Google Inc,filmprofessor9,197,122.0,52.0,261.0,435.0
Google Inc,autonomouscns,196,4.0,6.0,11.0,21.0
Google Inc,rttradingideas,196,49.0,21.0,166.0,236.0
Google Inc,naviavatar1,191,95.0,221.0,607.0,923.0
Google Inc,swingtradebot,191,0.0,10.0,10.0,20.0
Google Inc,datatrekmb,190,15.0,96.0,113.0,224.0
